Node Number =  35749
  -85.08296       47.27953       47.27953    
  -85.10194       47.25307       47.25307    
  -85.14253       47.24651       47.24651    
  -85.15337       47.21894       47.21894    
  -85.19584       47.20470       47.20470    
  -85.24002       47.19115       47.19115    
  -85.28163       47.18332       47.18332    
  -85.29146       47.15512       47.15512    
  -85.32889       47.13284       47.13284    
  -85.34689       47.10182       47.10182    
  -85.36103       47.07431       47.07431    
  -85.38271       47.04535       47.04535    
  -85.49325       46.91592       46.91592    
  -85.49615       46.88895       46.88895    
  -85.50337       46.85975       46.85975    
  -85.50371       46.83253       46.83253    
  -85.48516       46.80941       46.80941    
  -85.48576       46.78611       46.78611    
  -85.49181       46.75879       46.75879    
  -85.50317       46.73196       46.73196    
  -85.51099       46.70596       46.70596    
  -85.48807       46.68431       46.68431    
  -85.42325       47.03754       47.03754    
  -85.44207       47.00750       47.00750    
  -85.45672       46.97782       46.97782    
  -85.47684       46.94646       46.94646    
  -84.63292       47.33572       47.33572    
  -84.67624       47.33231       47.33231    
  -84.71878       47.32941       47.32941    
  -84.75932       47.32679       47.32679    
  -84.80407       47.32790       47.32790    
  -84.84512       47.32565       47.32565    
  -84.88451       47.32177       47.32177    
  -84.91176       47.34159       47.34159    
  -84.95333       47.33475       47.33475    
  -84.98573       47.32178       47.32178    
  -85.01724       47.33912       47.33912    
  -85.05033       47.32624       47.32624    
  -85.09473       47.31978       47.31978    
  -85.11214       47.29823       47.29823    
  -85.12761       47.27402       47.27402    
  -85.16916       47.26554       47.26554    
  -85.18695       47.23432       47.23432    
  -85.22616       47.21595       47.21595    
  -85.26840       47.21202       47.21202    
  -85.31309       47.19811       47.19811    
  -85.32824       47.16888       47.16888    
  -85.35922       47.14908       47.14908    
  -85.37187       47.12269       47.12269    
  -85.38826       47.09523       47.09523    
  -85.40207       47.06735       47.06735    
  -85.51662       46.93658       46.93658    
  -85.53632       46.90430       46.90430    
  -85.53057       46.87742       46.87742    
  -85.54684       46.84975       46.84975    
  -85.54350       46.82367       46.82367    
  -85.52560       46.80202       46.80202    
  -85.51933       46.77635       46.77635    
  -85.53131       46.75230       46.75230    
  -85.54274       46.72692       46.72692    
  -85.54954       46.70244       46.70244    
  -85.52657       46.67926       46.67926    
  -85.44288       47.05943       47.05943    
  -85.46356       47.02883       47.02883    
  -85.48212       46.99816       46.99816    
  -85.49656       46.96806       46.96806    
  -84.66125       47.35460       47.35460    
  -84.70238       47.35271       47.35271    
  -84.74319       47.35061       47.35061    
  -84.78400       47.34868       47.34868    
  -84.82895       47.34984       47.34984    
  -84.87031       47.34714       47.34714    
  -84.89799       47.36663       47.36663    
  -84.94150       47.36003       47.36003    
  -84.98451       47.35241       47.35241    
  -85.01665       47.36943       47.36943    
  -85.04923       47.35650       47.35650    
  -85.08217       47.34388       47.34388    
  -85.12634       47.33795       47.33795    
  -85.14392       47.31639       47.31639    
  -85.15804       47.29265       47.29265    
  -85.19900       47.28524       47.28524    
  -85.20398       47.25734       47.25734    
  -85.23542       47.23975       47.23975    
  -85.27669       47.23673       47.23673    
  -85.30930       47.22369       47.22369    
  -85.34962       47.21576       47.21576    
  -85.35330       47.19214       47.19214    
  -85.38029       47.17368       47.17368    
  -85.39781       47.14474       47.14474    
  -85.41302       47.11674       47.11674    
  -85.42919       47.08807       47.08807    
  -85.53670       46.95903       46.95903    
  -85.55678       46.92870       46.92870    
  -85.58122       46.89970       46.89970    
  -85.56764       46.87523       46.87523    
  -85.59176       46.84795       46.84795    
  -85.58071       46.82353       46.82353    
  -85.56973       46.79870       46.79870    
  -85.55621       46.77520       46.77520    
  -85.57087       46.74924       46.74924    
  -85.58588       46.72321       46.72321    
  -85.58469       46.69801       46.69801    
  -85.56545       46.67714       46.67714    
  -85.47007       47.07994       47.07994    
  -85.48359       47.05070       47.05070    
  -85.50386       47.01963       47.01963    
  -85.52232       46.98883       46.98883    
  -84.68591       47.37564       47.37564    
  -84.72651       47.37420       47.37420    
  -84.76691       47.37246       47.37246    
  -84.80813       47.37015       47.37015    
  -84.85522       47.37394       47.37394    
  -84.88900       47.39307       47.39307    
  -84.92921       47.38412       47.38412    
  -84.97353       47.37701       47.37701    
  -85.00581       47.39384       47.39384    
  -85.04846       47.38687       47.38687    
  -85.08073       47.37436       47.37436    
  -85.11338       47.36211       47.36211    
  -85.15694       47.35690       47.35690    
  -85.17482       47.33529       47.33529    
  -85.18929       47.31147       47.31147    
  -85.22989       47.30385       47.30385    
  -85.23330       47.27260       47.27260    
  -85.26649       47.26112       47.26112    
  -85.30698       47.25308       47.25308    
  -85.34131       47.24223       47.24223    
  -85.38244       47.23439       47.23439    
